title,author,description,price,quantity,availability,isbn
MIMO Antenna Technology for Wireless Communications,George Tsoulos,CRC Press,370,1,true,978-1030676921
Data Communications and Networking Solution Manual  ,Behrouz Forouzan,Detailed description of this engineering book is currently unavailable.,326,2,true,978-8572784613
CMOS VLSI Design: A Circuits and Systems Perspective (4th Edition)    ,Neil H. E. Weste,Addison Wesley,987,2,false,978-9916580573
"CMOS: Circuit Design, Layout, and Simulation ",R. Jacob Baker,Wiley-IEEE Press,268,7,true,978-8440739787
CMOS Digital Integrated Circuits Analysis & Design,Sung-Mo (Steve) Kang,WCB McGraw-Hill,477,3,false,978-4622520095
Device Modeling for Analog and RF CMOS Circuit Design,Trond Ytterdal,Wiley,844,9,true,978-8251082629
Digital VLSI Systems Design: A Design Manual for Implementation of Projects on FPGAs and ASICs Using Verilog,Seetharaman Ramachandran,Springer,536,9,false,978-7246114454
Digital Integrated Circuit Design: From VLSI Architectures to CMOS Fabrication,Hubert Kaeslin,Cambridge University Press,557,3,false,978-9121543532
Digital Design Using VHDL: A Systems Approach,William J Dally,Cambridge University Press,638,7,false,978-8704363647
Basics of CMOS Cell Design,Etienne Sicard,McGraw-Hill Professional,506,8,false,978-8010357234
Top-Down Digital VLSI Design: From Architectures to Gate-Level Circuits and FPGAs,Hubert Kaeslin,Morgan Kaufmann,574,5,true,978-5044709620
CMOS Analog Design Using All-Region MOSFET Modeling,Márcio Cherem Schneider,Detailed description of this engineering book is currently unavailable.,456,4,true,978-4137200535
Basic VLSI Design,Douglas A. Pucknell,Detailed description of this engineering book is currently unavailable.,982,4,true,978-2227616751
VLSI Chip Design with the Hardware Description Language VERILOG: An Introduction Based on a Large RISC Processor Design,Prof. Dr. Ulrich Golze (auth.),Springer-Verlag Berlin Heidelberg,742,10,false,978-1948985041
"CMOS Circuit Design, Layout, and Simulation, ",R. Jacob  Baker,Wiley-IEEE Press,305,1,true,978-8515848354
Advanced CMOS Cell Design,Etienne Sicard,McGraw-Hill Professional,456,6,true,978-2429129058
Machine Learning in VLSI Computer-Aided Design,Ibrahim (Abe) M. Elfadel,Springer International Publishing,808,3,false,978-0611639092
"RF CMOS Power Amplifiers: Theory, Design and Implementation",Hella M.M.,Detailed description of this engineering book is currently unavailable.,156,6,true,978-1374061870
Low Power VLSI Design: Fundamentals,Angsuman Sarkar,Walter de Gruyter,794,10,true,978-4180189101
CMOS Mixed-Signal Circuit Design ,R. Jacob Baker,Wiley-IEEE Press,113,9,false,978-4983709034
Digital VLSI Chip Design with Cadence and Synopsys CAD Tools,Erik Brunvand,Detailed description of this engineering book is currently unavailable.,256,10,true,978-8526220916
Design Methodology for RF CMOS Phase Locked Loops,Carlos Quemada,Detailed description of this engineering book is currently unavailable.,568,3,false,978-5670290326
Wireless Communication Networks and Systems,Cory Beard,Pearson,635,4,false,978-2957714435
Fundamentals of Wireless Communication,David Tse,Cambridge University Press,451,5,false,978-5086255454
5G Mobile and Wireless Communications Technology,Afif Osseiran,Cambridge University Press,880,10,true,978-4372814044
Machine Learning for Future Wireless Communications,Fa-Long Luo,Wiley-IEEE,485,7,true,978-1352428271
"Building Wireless Sensor Networks: with ZigBee, XBee, Arduino, and Processing",Robert Faludi,O'Reilly Media,628,10,false,978-2267790924
New Directions in Wireless Communications Systems: From Mobile to 5G,Athanasios G. Kanatas,CRC Press,298,10,true,978-7837182301
RF and Microwave Engineering: Fundamentals of Wireless Communications,Frank Gustrau,Wiley,307,1,true,978-3771087448
MIMO-OFDM Wireless Communications with MATLAB,Yong Soo Cho,Wiley,136,8,false,978-6252400805
Wireless Communications,Andrea Goldsmith,Cambridge University Press,479,1,true,978-8636405389
Fundamentals of Wireless Sensor Networks: Theory and Practice (Wireless Communications and Mobile Computing),Waltenegus Dargie,Detailed description of this engineering book is currently unavailable.,799,7,false,978-3612101429
Wireless Communications: Principles and Practice,Theodore S. Rappaport,Detailed description of this engineering book is currently unavailable.,378,8,true,978-1289213788
Modelling the Wireless Propagation Channel: A simulation approach with Matlab (Wireless Communications and Mobile Computing),Fernando Perez Fontan,Detailed description of this engineering book is currently unavailable.,186,5,true,978-2168491727
"NETWORKING HACKING: Complete guide tools for computer wireless network technology, connections and communications system. Practical penetration of a network via services and hardware.",Karnel,Detailed description of this engineering book is currently unavailable.,422,10,false,978-7342011674
Optical Wireless Communications: System and Channel Modelling with MATLAB®,Z. Ghassemlooy,CRC Press,955,5,false,978-6475751007
Wireless Communications Systems: An Introduction,Randy L. Haupt,Wiley-IEEE Press,198,9,false,978-7336974165
Wireless Communications and Networking for Unmanned Aerial Vehicles,Walid Saad,Cambridge University Press,757,1,false,978-4230485369
OFDM for Wireless Communications Systems,Ramjee Prasad,Artech House,355,2,true,978-5289342763
Optical Wireless Communications: System and Channel Modelling with MATLAB®,Ghassemlooy,CRC Press LLC,149,8,true,978-5181567011
Introduction to Wireless Digital Communication: A Signal Processing Perspective,Robert W. Heath Jr.,Prentice Hall,162,10,true,978-9599923826
Antennas for Base Stations in Wireless Communications,Zhi Ning Chen,McGraw-Hill,371,3,false,978-0722579735
"The ARRL Antenna Book: The Ultimate Reference for Amateur Radio Antennas, Transmission Lines And Propagation (Arrl Antenna Book)  ",American Radio Relay League,Amer Radio Relay League,685,6,true,978-9769714880
"Microwave and RF Design, Volume 2: Transmission Lines",Michael Steer,NC State University,390,3,false,978-9447649219
Transmission Line Design Handbook,Brian C. Wadell,Artech Print on Demand,169,3,false,978-3133400269
Design of electrical transmission lines: structures and foundations. Volume I,Kalaga,CRC Press/Balkema,753,8,true,978-1996611969
Electromagnetic Metamaterials: Transmission Line Theory and Microwave Applications,Christophe Caloz,Wiley-IEEE Press,809,9,false,978-4617076986
Electromagnetic Waves and Transmission Lines,U.A Bakshi,Technical Publications,372,6,true,978-7232854121
"The Complete Nyingma Tradition from Sutra to Tantra, Book 13: Philosophical Systems and Lines of Transmission",Choying Tobden Dorje,Snow Lion,610,2,true,978-3838854820
Transmission Lines (Schaum's Outline Series),Robert A. Chipman,Mcgraw-Hill,282,5,false,978-6230954032
Electromagnetic Field Interaction with Transmission Lines : From Classical Theory to HF Radiation Effects (Advances in Electrical Engineering and Electromagnetics) ,F. Rachidi,WIT Press / Computational Mechanics,288,1,true,978-2180293526
Transmission Lines in Digital and Analog Electronic Systems: Signal Integrity and Crosstalk,Clayton R. Paul(auth.),Detailed description of this engineering book is currently unavailable.,667,7,false,978-2343221308
Electromagnetic Field Theory & Transmission Lines,G.S.N. Raju,Pearson Education,186,4,false,978-9567875660
THEORY OF WAVEGUIDES AND TRANSMISSION LINES,Edward F. Kuester,Detailed description of this engineering book is currently unavailable.,715,7,true,978-4394507602
Structural Engineering of Transmission Lines,Peter Catchpole,ICE Publishing,437,2,true,978-1822100202
"Transmission Lines and Wave Propagation, Fourth Edition",Philip C. Magnusson,CRC Press,270,5,true,978-0751398444
The principles of semiconductor laser diodes and amplifiers: analysis and transmission line laser modeling,H. Ghafouri-Shiraz,Imperial College Press,624,2,true,978-0646263753
"Fields, Waves and Transmission Lines",F. A. Benson,Springer Netherlands,874,8,false,978-3594224368
Transmission Lines in Digital Systems for EMC Practitioners,Clayton R. Paul(auth.),Detailed description of this engineering book is currently unavailable.,679,1,true,978-8210000077
Guidelines for Electrical Transmission Line Structural Loading,C. Jerry Wong,American Society of Civil Engineers,983,7,true,978-4906776765
"Introduction to Wave Propagation, Transmission Lines, and Antennas",Naval Education & Training Professional Development & Technology Center,Naval Education & Training Professional Development & Technology Center,976,8,true,978-7521540309
Principles of Electrical Transmission Lines in Power and Communication,J. H. Gridley and P. Hammond (Auth.),"Elsevier Ltd, Pergamon Press",944,5,false,978-7812569407
Antenna engineering handbook,John Volakis,McGraw-Hill Professional,820,6,true,978-3417008174
Antenna Engineering : Theory and Problems,Levin,CRC Press,141,9,true,978-5395512846
Microwave RF Antennas and Circuits.  Nonlinearity Applications in Engineering,Ofer Aluf,Springer,525,9,true,978-5770648770
Antennas and Radar for Environmental Scientists and Engineers,David Hysell,Cambridge University Press,554,5,true,978-9782526019
"Surface Electromagnetics: With Applications in Antenna, Microwave, and Optical Engineering",Fan Yang,Cambridge University Press,218,2,true,978-8896476704
Radar Techniques Using Array Antennas,Wulf-Dieter Wirth,The Institution of Engineering and Technology,304,8,false,978-7313895560
handbook of microstrip antennas,J. R. James,The Institution of Engineering and Technology,755,4,false,978-7516300042
"Antenna Engineering Handbook, Fourth Edition",Volakis,Detailed description of this engineering book is currently unavailable.,579,10,false,978-4497070420
"Electromagnetics, Microwave Circuit and Antenna Design for Communications Engineering",Russer P.,Detailed description of this engineering book is currently unavailable.,422,6,false,978-7386416272
Methods in electromagnetic wave propagation,D  S Jones,Institute of Electrical and Electronics Engineers,384,10,true,978-0283570654
Antennas and Propagation for 5G and Beyond,Muhammad Ali Imran,Institution of Engineering and Technology,538,6,false,978-4749287168
Antennas and Radiowave Propagation (Mcgraw Hill Series in Electrical and Computer Engineering),Robert E. Collin,Detailed description of this engineering book is currently unavailable.,260,5,false,978-6300890888
Microwave Antenna Theory And Design,Samuel Silver,The Institution of Engineering and Technology,921,3,false,978-1455431104
Principles of Planar Near-Field Antenna Measurements,S. Gregson,Institution of Engineering and Technology,499,3,false,978-7739517257
Fundamentals of antennas : concepts and applications,Christos G Christodoulou,SPIE,360,3,true,978-7499817719
Theory and practice of modern antenna range measurements,Gregson,The Institution of Engineering and Technology,538,1,true,978-3897314150
Electromagnetic Band Gap Structures in Antenna Engineering,Fan Yang,Cambridge University Press,826,3,true,978-8000518224
Characteristic Modes: Theory and Applications in Antenna Engineering,Yikai Chen,Wiley,896,10,true,978-5043830750
Small Antenna Design (Communications Engineering Series),Douglas B. Miron,Detailed description of this engineering book is currently unavailable.,799,9,false,978-1947554597
VHF and UHF antennas,Burberry,P. Peregrinus on behalf of the Institution of Electrical Engineers,498,2,true,978-7604902069
Fiber Optic Communications: Fundamentals and Applications,Shiva Kumar,Wiley,396,2,false,978-3527341187
"How to understand, enjoy, and draw optical illusions: 37 illustrated projects",Robert Ausbourne,Pomegranate Communications,130,9,false,978-1055393428
"Optical Fiber Communication Systems with MATLAB® and Simulink® Models, Second Edition",Binh,CRC Press,592,1,false,978-9367550695
Advanced Digital Optical Communications,Le Nguyen Binh,CRC Press,646,1,false,978-1991153519
Optical Fiber Communications,Gerd Keiser,McGraw-Hill,581,6,false,978-6111938791
Optical Wireless Communications: System and Channel Modelling with MATLAB®,Z. Ghassemlooy,CRC Press,518,9,false,978-2475374416
"Fiber-Optic Communication Systems, 4th Edition (Wiley Series in Microwave and Optical Engineering)  ",Govind P. Agrawal,Wiley-Interscience,178,3,true,978-8817928848
Optical Wireless Communications: System and Channel Modelling with MATLAB®,Ghassemlooy,CRC Press LLC,656,6,false,978-8922529725
Fiber Optic and Atmospheric Optical Communication,Nathan Blaunstein,Wiley-IEEE Press,265,10,true,978-2300323949
Optical Fiber Communications: Principles and Practice (3rd Edition)  ,John Senior,Prentice Hall,148,5,true,978-7785909272
Fiber-Optic Communication Systems,Govind P. Agrawal,Wiley-Interscience,185,5,true,978-6917460290
Handbook of Fiber Optic Data Communication. A Practical Guide to Optical Networking,Casimer DeCusatis (Eds.),Academic Press,647,7,true,978-4619051026
 Advanced Optical and Wireless Communications Systems,Ivan B. Djordjevic (auth.),Springer International Publishing,947,3,false,978-3609817277
Design of Integrated Circuits for Optical Communications,Behzad Razavi,John Wiley & Sons,648,9,false,978-2768352005
Applied Aspects of Optical Communication and LIDAR,Nathan Blaunstein,Detailed description of this engineering book is currently unavailable.,179,9,false,978-6920064483
Free-Space Laser Communications: Principles and Advances (Optical and Fiber Communications Reports),Arun Majumdar,Detailed description of this engineering book is currently unavailable.,583,7,false,978-0735840412
Solution of optical and microwave problems using HFSS,Banks SE,"Orkada"" LLC",820,7,false,978-7608285659
Optical Fiber Communications,Gerd Keiser,McGraw-Hill Education,697,5,false,978-4739436241
Introduction to Semiconductor Lasers for Optical Communications: An Applied Approach,David J. Klotzkin (auth.),Springer-Verlag New York,834,6,true,978-0807817313
Photonics: optical electronics in modern communications,Amnon Yariv,"Oxford University Press, USA",874,6,false,978-7872566647
Real-time embedded components and systems : with Linux and RTOS,Pratt,Mercury Learning and Information,851,5,true,978-9158632884
"Hands-On RTOS with Microcontrollers: Building real-time embedded systems using FreeRTOS, STM32 MCUs, and SEGGER debug tools",Brian Amos,Packt Publishing,504,9,true,978-8108270441
Real-Time Embedded Systems: Design Principles and Engineering Practices,Xiaocong Fan,Newnes,804,10,true,978-4178677828
Handbook of Real-Time and Embedded Systems,Insup Lee,Chapman and Hall/CRC,903,6,false,978-2994648776
DSP for Embedded and Real-Time Systems. Expert Guide,Oshana R.,Detailed description of this engineering book is currently unavailable.,121,1,true,978-8173062646
"Embedded and Real Time System Development: A Software Engineering Perspective: Concepts, Methods and Principles",Diego Alonso,Springer-Verlag Berlin Heidelberg,818,3,false,978-5117907963
"Open-Source Robotics and Process Control Cookbook: Designing and Building Robust, Dependable Real-time Systems",Lewin Edwards Lewin Edwards is an embedded engineer with over 15 years experience designing embedded systems hardware  firmware  and control software.,Newnes,775,3,true,978-7068421083
Linux for Embedded and Real-Time Applications,Doug Abbott,Newnes,965,7,true,978-1504617932
DSP Software Development Techniques for Embedded and Real-Time Systems ,Robert Oshana,Newnes,593,4,false,978-2438788832
Real-Time Concepts for Embedded Systems,Qing Li,CMP Books,896,1,true,978-0512689472
"Debugging Embedded and Real-Time Systems: The Art, Science, Technology, and Tools of Real-Time System Debugging",Arnold S. Berger,Newnes,589,7,true,978-8414738896
"Real-time Embedded Systems: Optimization, Synthesis, and Networking",Meikang Qiu and Jiayin Li,CRC Press (Taylor & Francis Group),306,5,false,978-3487846766
Modeling and Analysis of Real-Time and Embedded Systems with UML and MARTE. Developing Cyber-Physical Systems,Bran Selic and Sébastien Gérard (Auth.),Morgan Kaufmann,146,9,true,978-9067490192
DSP for Embedded and Real-Time Systems,Oshana,Newnes,129,3,false,978-5689797301
Linux for embedded and real-time applications,Doug Abbott,Newnes,412,2,true,978-9443518290
Memory Controllers for Real-Time Embedded Systems: Predictable and Composable Real-Time Systems ,Benny Akesson,Springer-Verlag New York,448,8,true,978-5324992777
"Distributed, Embedded and Real-time Java Systems",Andy J. Wellings,Springer-Verlag New York,335,2,false,978-9816139082
"Open-Source Robotics and Process Control Cookbook: Designing and Building Robust, Dependable Real-time Systems",Lewin Edwards Lewin Edwards is an embedded engineer with over 15 years experience designing embedded systems hardware  firmware  and control software.,Newnes,303,10,false,978-5762868904
Numerical Methods Real-Time and Embedded Systems Programming,Don Morgan,M & T Books,188,7,false,978-0132690553
"Open-Source Robotics and Process Control Cookbook: Designing and Building Robust, Dependable Real-time Systems",Lewin Edwards Lewin Edwards is an embedded engineer with over 15 years experience designing embedded systems hardware  firmware  and control software.,Newnes,965,4,false,978-4335736587
Wireless Sensor and Mobile Ad-Hoc Networks: Vehicular and Space Applications,Driss Benhaddou,Springer-Verlag New York,137,4,true,978-3389120357
Security in Wireless Ad Hoc and Sensor Networks,Erdal Cayirci,Wiley,975,8,true,978-3143161555
Wireless Ad Hoc and Sensor Networks: Theory and Applications,Xiang-Yang Li,Cambridge University Press,384,5,true,978-8025557139
"Wireless Ad Hoc and Sensor Networks : Management, Performance, and Applications",He,CRC Press,881,2,false,978-4893691028
Topology Control in Wireless Ad Hoc and Sensor Networks,Dr Paolo Santi,Wiley,646,4,false,978-2726928812
"Handbook on Theoretical and Algorithmic Aspects of Sensor, Ad Hoc Wireless, and Peer-to-Peer Networks ",Jie Wu,Auerbach Publications,341,1,false,978-6775978759
"Wireless ad hoc and sensor networks : protocols, performance, and control",Jagannathan Sarangapani,CRC Press ,790,2,true,978-9646174277
Wireless Ad Hoc and Sensor Networks,Houda Labiod,"Wiley :, ISTE",529,1,true,978-6185157663
"Handbook on Theoretical and Algorithmic Aspects of Sensor, Ad Hoc Wireless, and Peer-to-Peer Networks (INTERNET AND COMMUNICATIONS SERIES)",Jie Wu,Auerbach Publications,469,6,false,978-1640284119
Wireless Ad Hoc and Sensor Networks: A Cross-Layer Design Perspective (Signals and Communication Technology),Raja Jurdak,Detailed description of this engineering book is currently unavailable.,541,2,true,978-9689343290
Topology Control in Wireless Ad Hoc and Sensor Networks,Dr Paolo Santi,Wiley,118,7,true,978-3056718619
Security in Wireless Ad Hoc and Sensor Networks,Erdal Cayirci,Wiley,561,2,true,978-5099408687
Wireless Ad Hoc and Sensor Networks,R. Jurdak,Springer,624,3,true,978-2919561600
Advances in Wireless Ad Hoc and Sensor Networks,Deying Li,Springer US,438,3,false,978-7858408600
"Algorithms for Sensor Systems: 6th International Workshop on Algorithms for Sensor Systems, Wireless Ad Hoc Networks, and Autonomous Mobile Entities, ALGOSENSORS 2010, Bordeaux, France, July 5, 2010, Revised Selected Papers",Iyad A. Kanj,Springer-Verlag Berlin Heidelberg,524,8,false,978-2695309177
"Algorithms for Sensor Systems: 8th International Symposium on Algorithms for Sensor Systems, Wireless Ad Hoc Networks and Autonomous Mobile Entities, ALGOSENSORS 2012, Ljubljana, Slovenia, September 13-14, 2012. Revised Selected Papers",Thomas Kesselheim (auth.),Springer-Verlag Berlin Heidelberg,516,2,true,978-4578141643
Topology Control in Wireless Ad Hoc and Sensor Networks,Dr Paolo Santi,Wiley,372,2,false,978-9934195314
"Algorithms for Sensor Systems: 6th International Workshop on Algorithms for Sensor Systems, Wireless Ad Hoc Networks, and Autonomous Mobile Entities, ALGOSENSORS 2010, Bordeaux, France, July 5, 2010, Revised Selected Papers",Iyad A. Kanj,Springer-Verlag Berlin Heidelberg,369,6,false,978-8508098898
"NETWORKING 2007. Ad Hoc and Sensor Networks, Wireless Networks, Next Generation Internet: 6th International IFIP-TC6 Networking Conference, Atlanta, GA, USA, May 14-18, 2007. Proceedings",Fei Xing,Springer-Verlag Berlin Heidelberg,661,3,false,978-7217000738
Topology Control in Wireless Ad Hoc and Sensor Networks,Paolo Santi,Wiley,505,5,false,978-9513197852
Electronic Devices and Circuit Theory (11th Edition),Robert L. Boylestad,Prentice Hall,977,4,false,978-3295915582
Electrical Circuit Theory and Technology,John Bird,Routledge,293,7,false,978-9055164716
Electronic devices and circuit theory,Boylestad,Pearson,644,6,true,978-3559228698
Schaum's Outline of Theory and Problems of Basic Circuit Analysis,John O'Malley,McGraw-Hill,599,3,false,978-6793109166
Digital Circuit Analysis and Design with SIMULINK Modeling: And Introduction to CPLDs and FPGAs,Karris S. T.,Orchard Publications,124,5,false,978-3479230911
Instructors Solution Manual Electronic Devices and Circuit Theory,Robert L. Boylestad,Pearson Prentice Hall,364,4,true,978-8631482575
Schaum's Outline of Theory and Problems of Electric Circuits,Mahmood Nahvi,McGraw-Hill,670,2,false,978-2850833172
Theory and Design of Electrical and Electronic Circuits,Tait E.,Detailed description of this engineering book is currently unavailable.,870,8,false,978-9663761184
"Emc & the Printed Circuit Board: Design, Theory, & Layout Made Simple ",Mark I. Montrose,Wiley-IEEE Press,563,6,true,978-0473647457
"Electrical Circuit Theory and Technology, Fourth Edition",John Bird BSc (Hons)  CEng  CMath  CSci  FIET  MIEE  FIIE  FIMA  FCollT,Newnes,434,3,false,978-9783288842
RF Circuit Design: Theory and Applications  ,Reinhold Ludwig,Prentice Hall,651,3,true,978-2236931161
Instructors solution manual to electronic devices and circuit theory,Robert L.Boylestead,Pearson Prentice Hall,377,9,false,978-2573478042
Electrical circuit theory,K  C  A Smith,Cambridge University Press,885,8,true,978-0561275197
Electronic Devices and Circuit Theory ,Robert L. Boylestad,Prentice Hall,499,10,false,978-3400395980
ELECTRONIC DEVICES AND CIRCUIT THEORY Lecturer Presentations,ROBERT L. BOYLESTAD,PEARSON,660,9,false,978-4396410015
Analog And Digital Circuits For Electronic Control System Applications,Jerry Luecke,Newnes,884,8,true,978-4394750748
Schaum's outline of theory and problems of Boolean algebra and switching circuits,Elliott Mendelson,McGraw-Hill,466,8,true,978-5847455783
Circuit Theory and Networks Analysis and Synthesis,Ravish R. Singh,McGraw-Hill Education,994,8,true,978-8339083858
Operational Amplifiers and Linear Integrated Circuits: Theory and Applications,James M. Fiore,Detailed description of this engineering book is currently unavailable.,238,8,false,978-2938399668
Analog Circuit Theory and Filter Design in the Digital World: With an Introduction to the Morphological Method for Creative Solutions and Design,George S. Moschytz,Springer International Publishing,475,8,true,978-0309091286
"Digital Electronics, Volume 1: Combinational Logic Circuits",Tertulien Ndjountche,Wiley-ISTE,424,3,false,978-2235354881
"Digital Electronics, Volume 2: Sequential and Arithmetic Logic Circuits",Tertulien Ndjountche,Wiley-ISTE,765,7,true,978-3632404961
Digital Logic Circuit Analysis and Design  ,Victor P. Nelson,Prentice Hall,251,5,false,978-9866359306
An Introduction to Logic Circuit Testing (Synthesis Lectures on Digital Circuits and Systems),Parag K. Lala,Morgan and Claypool Publishers,200,2,true,978-5330331530
Practical Design of Digital Circuits. Basic Logic to Microprocessors,Ian Kampel (Auth.),Newnes (an imprint of Butterworth-Heinemann Ltd ),798,7,false,978-7586531729
Quantum-Dot Cellular Automata Based Digital Logic Circuits: A Design Perspective,Trailokya Nath Sasamal,Springer Singapore,660,9,true,978-8707943764
Asynchronous Operators of Sequential Logic: Venjunction & Sequention: Digital Circuit Analysis and Design ,Vadim Vasyukevich (auth.),Springer-Verlag Berlin Heidelberg,689,6,true,978-5510129290
Digital Logic Circuit Analysis and Design,Victor P. Nelson,Prentice Hall,799,5,false,978-6050462675
"Digital Electronics, Volume 1: Combinational Logic Circuits",Tertulien Ndjountche,Wiley-ISTE,248,2,false,978-9999702860
"Model and Design of Bipolar and MOS Current-Mode Logic: CML, ECL and SCL Digital Circuits",Massimo Alioto,Detailed description of this engineering book is currently unavailable.,648,3,false,978-1556969023
Digital Logic Circuit Analysis and Design,Victor P. Nelson,Prentice Hall,253,10,false,978-5776134859
Pragmatic Logic (Synthesis Lectures on Digital Circuits and Systems),William J. Eccles,Morgan and Claypool Publishers,994,5,false,978-3116615338
Constraint Solving Over Multi-valued Logics: Application to Digital Circuits,Francisco Azevedo,IOS Press,428,1,true,978-9936554921
Digital electronics 2: sequential and arithmetic logic circuits,Ndjountche,Detailed description of this engineering book is currently unavailable.,305,1,false,978-9557012617
"Ones and zeros: understanding Boolean algebra, digital circuits, and the logic of sets",John Wiley,IEEE Press,371,6,true,978-2584332266
Digital Electronics 1 Combinational Logic Circuits,Tertulien Ndjountche,ISTE/Wiley,336,5,true,978-9524290367
"Ones and Zeros: Understanding Boolean Algebra, Digital Circuits, and the Logic of Sets (IEEE Press Understanding Science & Technology Series)",John R. Gregg,Wiley-IEEE Press,125,5,true,978-0193336319
Constraint Solving over Multi-Valued Logics: Application to Digital Circuits,Francisco Azevedo,IOS Press,722,9,true,978-7298954438
Theory of electromagnetic wave propagation,Charles Herach Papas,Dover Publications,987,3,false,978-4633165452
Electromagnetism - Theory and Applications,Ashutosh Pramanik,PHI Learning Pvt. Ltd.,753,3,true,978-4883308170
"Principles of Optics: Electromagnetic Theory of Propagation, Interference and Diffraction of Light (7th Edition)",Max Born,Cambridge University Press,703,9,true,978-9677836398
Electromagnetic Field Theory Fundamentals,Bhag Singh Guru,Cambridge University Press,290,9,true,978-2008921144
Electromagnetic field theory for engineers and physicists,Günther Lehner (auth.),Springer-Verlag Berlin Heidelberg,859,8,true,978-8101031956
Light and Vacuum: The Wave Particle Nature of the Light and the Quantum Vacuum. Electromagnetic Theory and Quantum Electrodynamics Beyond the Standard Model,Constantin Meis,World Scientific,550,4,true,978-2155121687
Foundations of Electromagnetic Theory,John R. Reitz,Addison Wesley,436,7,true,978-3190763197
Electromagnetic Metamaterials: Transmission Line Theory and Microwave Applications,Christophe Caloz,Wiley-IEEE Press,855,5,true,978-1213956837
Classical Field Theory: Electromagnetism and Gravitation,Francis E. Low,Wiley-VCH,940,1,false,978-6001884202
Electromagnetic Theory (IEEE Press Series on Electromagnetic Wave Theory),Julius Adams Stratton,Wiley-IEEE Press,987,9,true,978-9859190903
Theory and computation of electromagnetic fields,Jin,John Wiley & Sons,892,10,true,978-4980432784
Classical Electromagnetic Theory,Jack Vanderlinde,Springer,443,2,false,978-0385831845
Electromagnetic field theory fundamentals,Bhag Singh Guru,Cambridge University Press,352,7,false,978-3058574422
Time-Harmonic Electromagnetic Fields (IEEE Press Series on Electromagnetic Wave Theory),Roger F. Harrington,Wiley-IEEE Press,709,8,true,978-9143238989
Shielding of Electromagnetic Waves: Theory and Practice,George M. Kunkel,Springer International Publishing,406,2,false,978-4743231999
Electromagnetic Theory for Electromagnetic Compatibility Engineers,Tze-Chuen Toh,CRC Press,360,6,false,978-9519695309
A Dynamical Theory of the Electromagnetic Field,James C. Maxwell Thomas F. Torrance James Clerk Maxwell,Detailed description of this engineering book is currently unavailable.,821,6,true,978-1758448870
"Field Theory Concepts: Electromagnetic Fields Maxwell’s Equations grad, curl, div. etc. Finite-Element Method Finite-Difference Method Charge Simulation Method Monte Carlo Method",Prof. Dr.-Ing. Adolf J. Schwab (auth.),Springer-Verlag Berlin Heidelberg,402,7,false,978-6618544359
Electromagnetic Field Theory: A Problem Solving Approach,Markus Zahn,Krieger Pub Co,422,8,true,978-6866360857
Basic Electromagnetic Theory,James Babington,Mercury Learning & Information,676,4,true,978-4810629442
Fundamentals of Electronics: Book 1: Electronic Devices and Circuit Applications,Thomas F. Schubert Jr.,Morgan & Claypool Publishers,585,6,false,978-3587058459
Electronic Devices and Circuit Theory (11th Edition),Robert L. Boylestad,Prentice Hall,687,3,true,978-0382471628
"Power electronics : devices, circuits, and applications",Muhammad H. Rashid,Pearson,735,2,true,978-1530365382
Electronic devices and circuit theory,Boylestad,Pearson,922,10,false,978-7277736287
"Power electronics : devices, circuits and industrial applications",Moorthi,Oxford University Press,874,7,true,978-2448639211
"Electronics Fundamentals. Circuits, Devices, and Applications",David M. Buchla,Pearson Education Limited,452,7,false,978-2725199920
"Schaum's Outline of Electronic Devices and Circuits, Second Edition",Jimmie J. Cathey,McGraw-Hill,642,2,true,978-1935020278
Instructors Solution Manual Electronic Devices and Circuit Theory,Robert L. Boylestad,Pearson Prentice Hall,908,6,true,978-8585246834
"Power electronics handbook: Devices, circuits and applications",Muhammad H. Rashid,Academic Press,305,5,true,978-3659563991
Device Modeling for Analog and RF CMOS Circuit Design,Trond Ytterdal,Wiley,428,2,true,978-4765619761
A Textbook of Electrical Technology Volume IV - Electronic Devices and Circuits,B.L. Theraja,S Chand & Co Ltd,368,9,false,978-0806787624
Electronic Devices and Circuits,Kishore,Detailed description of this engineering book is currently unavailable.,165,7,true,978-2060328589
Electronic Devices and Circuits,Tata McGraw-Hill.,Detailed description of this engineering book is currently unavailable.,470,10,true,978-3728731562
Instructors solution manual to electronic devices and circuit theory,Robert L.Boylestead,Pearson Prentice Hall,932,1,true,978-7042612502
Electronic Devices and Circuit Theory ,Robert L. Boylestad,Prentice Hall,480,8,false,978-1719738393
ELECTRONIC DEVICES AND CIRCUIT THEORY Lecturer Presentations,ROBERT L. BOYLESTAD,PEARSON,893,1,false,978-4871721319
"Electronics Fundamentals: Circuits, Devices, and Applications-Instructor’s Resource Manual",Thomas L. Floyd,Pearson Prentice Hall,660,6,false,978-2681791033
"Contemporary Electronics: Fundamentals, Devices, Circuits, and Systems",Louis Frenzel,McGraw-Hill Education,480,4,false,978-1890498390
PSpice for Circuit Theory and Electronic Devices (Synthesis Lectures on Digital Circuits and Systems),Paul Tobin,Morgan and Claypool Publishers,649,5,false,978-3813172558
The Electronics Companion: Devices and Circuits for Physicists and Engineers,Fischer-Cripps,CRC Press,533,10,true,978-7929113729
"Mechatronics: Electronic Control Systems in Mechanical and Electrical Engineering, 6th Edition",William Bolton,Pearson,717,1,true,978-1958660953
